Going to be training for a total of 50000 episodes
Episode: 100, reward: -160.5272085380204, steps: 110
Episode: 200, reward: -171.74121301754766, steps: 102
Episode: 300, reward: -111.55998660103735, steps: 70
Episode: 400, reward: -137.02234285780986, steps: 123
Episode: 500, reward: -142.73099125632734, steps: 108
---------- testing now ----------
Mean reward achieved : -191.4418925185329 
--------------------------------------------------
Episode: 600, reward: -112.19469973463343, steps: 76
Episode: 700, reward: -95.17580555147102, steps: 150
Episode: 800, reward: -52.79805607311111, steps: 70
Episode: 900, reward: -98.17072795632042, steps: 74
Episode: 1000, reward: -135.625173990956, steps: 94
---------- testing now ----------
Mean reward achieved : -167.4807371632423 
--------------------------------------------------
Episode: 1100, reward: -75.27637161052238, steps: 89
Episode: 1200, reward: -140.5514180232695, steps: 108
Episode: 1300, reward: -118.00281558350085, steps: 88
Episode: 1400, reward: -102.46204218651192, steps: 87
Episode: 1500, reward: -140.70948619529506, steps: 112
---------- testing now ----------
Mean reward achieved : -127.6648257337542 
--------------------------------------------------
Episode: 1600, reward: -141.98249829483464, steps: 109
Episode: 1700, reward: -74.6642372089142, steps: 125
Episode: 1800, reward: -108.97725756532365, steps: 78
Episode: 1900, reward: -88.79311523996354, steps: 75
Episode: 2000, reward: -97.3856563044362, steps: 115
---------- testing now ----------
Mean reward achieved : -137.16198836484693 
--------------------------------------------------
Episode: 2100, reward: -138.74828301868993, steps: 205
Episode: 2200, reward: -91.43963721195414, steps: 133
Episode: 2300, reward: -194.3735875500064, steps: 177
Episode: 2400, reward: -193.5793640538456, steps: 104
Episode: 2500, reward: -79.06779518274769, steps: 112
---------- testing now ----------
Mean reward achieved : -131.72897267222032 
--------------------------------------------------
Episode: 2600, reward: -178.30334049326262, steps: 231
Episode: 2700, reward: -53.27146863355887, steps: 90
Episode: 2800, reward: -54.4608815086759, steps: 302
Episode: 2900, reward: 5.513828317337627, steps: 217
Episode: 3000, reward: -27.433642653866926, steps: 80
---------- testing now ----------
Mean reward achieved : -63.67616740819397 
--------------------------------------------------
Episode: 3100, reward: -128.49959008431765, steps: 397
Episode: 3200, reward: -37.3620713231729, steps: 202
Episode: 3300, reward: -46.720946715867555, steps: 293
Episode: 3400, reward: -76.25512672737217, steps: 391
Episode: 3500, reward: -235.2469439101466, steps: 1000
---------- testing now ----------
Mean reward achieved : -54.346211305763056 
--------------------------------------------------
Episode: 3600, reward: -1.1963136956461824, steps: 99
Episode: 3700, reward: -245.20493489810443, steps: 970
Episode: 3800, reward: 13.86719761052862, steps: 145
Episode: 3900, reward: 1.607143102045697, steps: 142
Episode: 4000, reward: -55.20801261225371, steps: 641
---------- testing now ----------
Mean reward achieved : -92.50462184295559 
--------------------------------------------------
Episode: 4100, reward: -128.37045198950662, steps: 707
Episode: 4200, reward: -102.2909259938503, steps: 735
Episode: 4300, reward: -89.93244531291812, steps: 1000
Episode: 4400, reward: -49.56880551994916, steps: 1000
Episode: 4500, reward: -125.94008999830868, steps: 680
---------- testing now ----------
Mean reward achieved : -70.59204558402277 
--------------------------------------------------
Episode: 4600, reward: -41.052731085371065, steps: 730
Episode: 4700, reward: -35.858302068507456, steps: 637
Episode: 4800, reward: -67.71574714328094, steps: 1000
Episode: 4900, reward: -49.04471941706858, steps: 1000
Episode: 5000, reward: -23.957298678356068, steps: 1000
---------- testing now ----------
Mean reward achieved : -30.513054067867966 
--------------------------------------------------
Episode: 5100, reward: -33.48812770180332, steps: 1000
Episode: 5200, reward: -29.847875609114688, steps: 1000
Episode: 5300, reward: -13.335222821618668, steps: 1000
Episode: 5400, reward: -8.65376259945519, steps: 1000
Episode: 5500, reward: -11.710507303913804, steps: 1000
---------- testing now ----------
Mean reward achieved : -21.915270810685538 
--------------------------------------------------
Episode: 5600, reward: -39.58172484815849, steps: 1000
Episode: 5700, reward: -50.06057117471514, steps: 1000
Episode: 5800, reward: -19.003164355981383, steps: 1000
Episode: 5900, reward: -29.41704821062812, steps: 1000
Episode: 6000, reward: -28.56036655774767, steps: 654
---------- testing now ----------
Mean reward achieved : -38.64056624330755 
--------------------------------------------------
Episode: 6100, reward: -23.158452983933635, steps: 1000
Episode: 6200, reward: -96.42019968226762, steps: 1000
Episode: 6300, reward: -63.82644102647701, steps: 1000
Episode: 6400, reward: 38.19226461276055, steps: 1000
Episode: 6500, reward: 36.98526817480252, steps: 1000
---------- testing now ----------
Mean reward achieved : -7.010038554484108 
--------------------------------------------------
Episode: 6600, reward: -23.077411691475753, steps: 1000
Episode: 6700, reward: 31.983543378479535, steps: 1000
Episode: 6800, reward: -41.58918211581911, steps: 1000
Episode: 6900, reward: 40.530390911303755, steps: 1000
Episode: 7000, reward: -42.37602053099467, steps: 1000
---------- testing now ----------
Mean reward achieved : -12.003284323603292 
--------------------------------------------------
Episode: 7100, reward: 26.416771406993877, steps: 1000
Episode: 7200, reward: -288.60833801039485, steps: 418
Episode: 7300, reward: 29.756943718712648, steps: 151
Episode: 7400, reward: 3.612720765418575, steps: 1000
Episode: 7500, reward: 16.68648291119068, steps: 208
---------- testing now ----------
Mean reward achieved : -7.772669219927619 
--------------------------------------------------
Episode: 7600, reward: 21.34860945157164, steps: 1000
Episode: 7700, reward: 38.891185656609224, steps: 1000
Episode: 7800, reward: -23.464996117381165, steps: 1000
Episode: 7900, reward: 58.61918708622412, steps: 1000
Episode: 8000, reward: 17.705515974676473, steps: 105
---------- testing now ----------
Mean reward achieved : 53.65795141343849 
--------------------------------------------------
Episode: 8100, reward: 36.28390623161804, steps: 1000
Episode: 8200, reward: 12.746770075426534, steps: 1000
Episode: 8300, reward: -2.3220413328313434, steps: 1000
Episode: 8400, reward: 92.94714028553923, steps: 1000
Episode: 8500, reward: 75.1434193469257, steps: 1000
---------- testing now ----------
Mean reward achieved : 64.28597146179449 
--------------------------------------------------
Episode: 8600, reward: 47.4782129035837, steps: 1000
Episode: 8700, reward: 91.79883273963982, steps: 1000
Episode: 8800, reward: 48.09807549838651, steps: 1000
Episode: 8900, reward: 13.293060614068203, steps: 1000
Episode: 9000, reward: 84.12303524574418, steps: 1000
---------- testing now ----------
Mean reward achieved : 86.13126684720478 
--------------------------------------------------
Episode: 9100, reward: -234.10991687575046, steps: 800
Episode: 9200, reward: 91.11865640955865, steps: 1000
Episode: 9300, reward: 12.15777044111114, steps: 108
Episode: 9400, reward: 87.15204369334478, steps: 1000
Episode: 9500, reward: 45.19864018443684, steps: 156
---------- testing now ----------
Mean reward achieved : 62.37780553332401 
--------------------------------------------------
Episode: 9600, reward: 78.12469598316531, steps: 144
Episode: 9700, reward: 121.14005208958777, steps: 1000
Episode: 9800, reward: -38.9993218502227, steps: 312
Episode: 9900, reward: 92.81496727754522, steps: 1000
Episode: 10000, reward: 91.89606669068017, steps: 1000
---------- testing now ----------
